Gmt time,Open,High,Low,Close,Volume
21.03.2006 22:00:00.000,1.20897,1.21122,1.20632,1.20747,1308890505859.38
22.03.2006 22:00:00.000,1.20740,1.20789,1.19530,1.19667,1308251705078.13
23.03.2006 22:00:00.000,1.19662,1.20451,1.19482,1.20352,1291724714843.75
26.03.2006 22:00:00.000,1.20337,1.20561,1.20011,1.20126,1289413193359.38
27.03.2006 22:00:00.000,1.20122,1.21046,1.19905,1.19968,1301822675781.25
28.03.2006 22:00:00.000,1.19977,1.20478,1.19804,1.20212,1306810605468.75
29.03.2006 22:00:00.000,1.20187,1.21708,1.20168,1.21641,1307303212890.63
30.03.2006 22:00:00.000,1.21645,1.21736,1.20834,1.21132,1291392785156.25
31.03.2006 22:00:00.000,1.21132,1.21134,1.21132,1.21134,0
02.04.2006 21:00:00.000,1.21075,1.21470,1.20330,1.21348,1306788791015.63
03.04.2006 21:00:00.000,1.21326,1.22739,1.21192,1.22528,1296129708984.38
04.04.2006 21:00:00.000,1.22513,1.23043,1.22408,1.22847,1304448705078.13
05.04.2006 21:00:00.000,1.22819,1.23294,1.21978,1.22228,1299857177734.38
06.04.2006 21:00:00.000,1.22223,1.22296,1.20880,1.20910,1308087115234.38
09.04.2006 21:00:00.000,1.20884,1.21278,1.20751,1.21065,1303181697265.63
10.04.2006 21:00:00.000,1.21011,1.21525,1.20884,1.21405,1302553804687.5
11.04.2006 21:00:00.000,1.21357,1.21661,1.20648,1.21020,1304024005859.38
12.04.2006 21:00:00.000,1.20971,1.21307,1.20684,1.21065,1300198613281.25
13.04.2006 21:00:00.000,1.21025,1.21158,1.20953,1.21056,1284512994140.63
16.04.2006 21:00:00.000,1.21142,1.22853,1.21116,1.22473,1288740173828.13
17.04.2006 21:00:00.000,1.22440,1.23550,1.22233,1.23390,1307445287109.38
18.04.2006 21:00:00.000,1.23400,1.23927,1.22856,1.23768,1311306212890.63
